,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.67789474],roc_auc,6.0
1,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.70736842],roc_auc,6.0
2,dictlearn,ridge,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.72631579],roc_auc,6.0
3,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.44],roc_auc,6.0
4,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.64],roc_auc,6.0
5,dictlearn,ridge,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.63789474],roc_auc,6.0
6,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.60631579],roc_auc,6.0
7,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.72210526],roc_auc,6.0
8,dictlearn,ridge,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.72210526],roc_auc,6.0
9,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,1,correlation,no,108,[ 0.51260504],roc_auc,6.0
10,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,1,correlation,no,108,[ 0.39495798],roc_auc,6.0
11,dictlearn,ridge,yes,no,yes,no,adnidod,60,1,correlation,no,108,[ 0.38235294],roc_auc,6.0
12,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,1,partial correlation,no,108,[ 0.49789916],roc_auc,6.0
13,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,1,partial correlation,no,108,[ 0.44957983],roc_auc,6.0
14,dictlearn,ridge,yes,no,yes,no,adnidod,60,1,partial correlation,no,108,[ 0.44747899],roc_auc,6.0
15,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,1,tangent,no,108,[ 0.40546218],roc_auc,6.0
16,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,1,tangent,no,108,[ 0.38865546],roc_auc,6.0
17,dictlearn,ridge,yes,no,yes,no,adnidod,60,1,tangent,no,108,[ 0.3907563],roc_auc,6.0
18,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,2,correlation,no,116,[ 0.66666667],roc_auc,6.0
19,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,2,correlation,no,116,[ 0.6566416],roc_auc,6.0
20,dictlearn,ridge,yes,no,yes,no,adnidod,60,2,correlation,no,116,[ 0.65914787],roc_auc,6.0
21,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,2,partial correlation,no,116,[ 0.4962406],roc_auc,6.0
22,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,2,partial correlation,no,116,[ 0.62155388],roc_auc,6.0
23,dictlearn,ridge,yes,no,yes,no,adnidod,60,2,partial correlation,no,116,[ 0.62155388],roc_auc,6.0
24,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,2,tangent,no,116,[ 0.62155388],roc_auc,6.0
25,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,2,tangent,no,116,[ 0.70175439],roc_auc,6.0
26,dictlearn,ridge,yes,no,yes,no,adnidod,60,2,tangent,no,116,[ 0.70927318],roc_auc,6.0
27,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,3,correlation,no,105,[ 0.52154195],roc_auc,6.0
28,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,3,correlation,no,105,[ 0.54875283],roc_auc,6.0
29,dictlearn,ridge,yes,no,yes,no,adnidod,60,3,correlation,no,105,[ 0.53968254],roc_auc,6.0
30,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,3,partial correlation,no,105,[ 0.7414966],roc_auc,6.0
31,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,3,partial correlation,no,105,[ 0.69387755],roc_auc,6.0
32,dictlearn,ridge,yes,no,yes,no,adnidod,60,3,partial correlation,no,105,[ 0.6893424],roc_auc,6.0
33,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,3,tangent,no,105,[ 0.77777778],roc_auc,6.0
34,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,3,tangent,no,105,[ 0.67800454],roc_auc,6.0
35,dictlearn,ridge,yes,no,yes,no,adnidod,60,3,tangent,no,105,[ 0.67120181],roc_auc,6.0
36,dictlearn,svc_l1,yes,no,yes,no,adnidod,60,4,correlation,no,112,[ 0.62352941],roc_auc,6.0
37,dictlearn,svc_l2,yes,no,yes,no,adnidod,60,4,correlation,no,112,[ 0.67764706],roc_auc,6.0
38,dictlearn,ridge,yes,no,yes,no,adnidod,60,4,correlation,no,112,[ 0.69176471],roc_auc,6.0
