,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ica,svc_l1,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.71789474],roc_auc,6.0
1,ica,svc_l2,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.74947368],roc_auc,6.0
2,ica,ridge,yes,no,yes,no,adnidod,60,0,correlation,no,114,[ 0.75368421],roc_auc,6.0
3,ica,svc_l1,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.60210526],roc_auc,6.0
4,ica,svc_l2,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.70315789],roc_auc,6.0
5,ica,ridge,yes,no,yes,no,adnidod,60,0,partial correlation,no,114,[ 0.70315789],roc_auc,6.0
6,ica,svc_l1,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.61473684],roc_auc,6.0
7,ica,svc_l2,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.71578947],roc_auc,6.0
8,ica,ridge,yes,no,yes,no,adnidod,60,0,tangent,no,114,[ 0.71157895],roc_auc,6.0
9,ica,svc_l1,yes,no,yes,no,adnidod,60,1,correlation,no,107,[ 0.3487395],roc_auc,6.0
10,ica,svc_l2,yes,no,yes,no,adnidod,60,1,correlation,no,107,[ 0.45168067],roc_auc,6.0
11,ica,ridge,yes,no,yes,no,adnidod,60,1,correlation,no,107,[ 0.43487395],roc_auc,6.0
12,ica,svc_l1,yes,no,yes,no,adnidod,60,1,partial correlation,no,107,[ 0.45168067],roc_auc,6.0
13,ica,svc_l2,yes,no,yes,no,adnidod,60,1,partial correlation,no,107,[ 0.53781513],roc_auc,6.0
14,ica,ridge,yes,no,yes,no,adnidod,60,1,partial correlation,no,107,[ 0.53781513],roc_auc,6.0
15,ica,svc_l1,yes,no,yes,no,adnidod,60,1,tangent,no,107,[ 0.44117647],roc_auc,6.0
16,ica,svc_l2,yes,no,yes,no,adnidod,60,1,tangent,no,107,[ 0.44957983],roc_auc,6.0
17,ica,ridge,yes,no,yes,no,adnidod,60,1,tangent,no,107,[ 0.45378151],roc_auc,6.0
18,ica,svc_l1,yes,no,yes,no,adnidod,60,2,correlation,no,111,[ 0.61152882],roc_auc,6.0
19,ica,svc_l2,yes,no,yes,no,adnidod,60,2,correlation,no,111,[ 0.56892231],roc_auc,6.0
20,ica,ridge,yes,no,yes,no,adnidod,60,2,correlation,no,111,[ 0.55639098],roc_auc,6.0
21,ica,svc_l1,yes,no,yes,no,adnidod,60,2,partial correlation,no,111,[ 0.65413534],roc_auc,6.0
22,ica,svc_l2,yes,no,yes,no,adnidod,60,2,partial correlation,no,111,[ 0.72180451],roc_auc,6.0
