,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,kmeans,svc_l1,yes,no,yes,no,adnidod,80,0,correlation,no,120,[ 0.62105263],roc_auc,6.0
1,kmeans,svc_l2,yes,no,yes,no,adnidod,80,0,correlation,no,120,[ 0.71157895],roc_auc,6.0
2,kmeans,ridge,yes,no,yes,no,adnidod,80,0,correlation,no,120,[ 0.68],roc_auc,6.0
3,kmeans,svc_l1,yes,no,yes,no,adnidod,80,0,partial correlation,no,120,[ 0.43368421],roc_auc,6.0
4,kmeans,svc_l2,yes,no,yes,no,adnidod,80,0,partial correlation,no,120,[ 0.66526316],roc_auc,6.0
5,kmeans,ridge,yes,no,yes,no,adnidod,80,0,partial correlation,no,120,[ 0.66526316],roc_auc,6.0
6,kmeans,svc_l1,yes,no,yes,no,adnidod,80,0,tangent,no,120,[ 0.51157895],roc_auc,6.0
7,kmeans,svc_l2,yes,no,yes,no,adnidod,80,0,tangent,no,120,[ 0.65473684],roc_auc,6.0
8,kmeans,ridge,yes,no,yes,no,adnidod,80,0,tangent,no,120,[ 0.65473684],roc_auc,6.0
9,kmeans,svc_l1,yes,no,yes,no,adnidod,80,1,correlation,no,120,[ 0.5],roc_auc,6.0
10,kmeans,svc_l2,yes,no,yes,no,adnidod,80,1,correlation,no,120,[ 0.5105042],roc_auc,6.0
11,kmeans,ridge,yes,no,yes,no,adnidod,80,1,correlation,no,120,[ 0.53361345],roc_auc,6.0
12,kmeans,svc_l1,yes,no,yes,no,adnidod,80,1,partial correlation,no,120,[ 0.42016807],roc_auc,6.0
13,kmeans,svc_l2,yes,no,yes,no,adnidod,80,1,partial correlation,no,120,[ 0.45168067],roc_auc,6.0
14,kmeans,ridge,yes,no,yes,no,adnidod,80,1,partial correlation,no,120,[ 0.45168067],roc_auc,6.0
15,kmeans,svc_l1,yes,no,yes,no,adnidod,80,1,tangent,no,120,[ 0.42647059],roc_auc,6.0
16,kmeans,svc_l2,yes,no,yes,no,adnidod,80,1,tangent,no,120,[ 0.46218487],roc_auc,6.0
17,kmeans,ridge,yes,no,yes,no,adnidod,80,1,tangent,no,120,[ 0.46008403],roc_auc,6.0
18,kmeans,svc_l1,yes,no,yes,no,adnidod,80,2,correlation,no,120,[ 0.61904762],roc_auc,6.0
19,kmeans,svc_l2,yes,no,yes,no,adnidod,80,2,correlation,no,120,[ 0.63408521],roc_auc,6.0
20,kmeans,ridge,yes,no,yes,no,adnidod,80,2,correlation,no,120,[ 0.62406015],roc_auc,6.0
21,kmeans,svc_l1,yes,no,yes,no,adnidod,80,2,partial correlation,no,120,[ 0.67418546],roc_auc,6.0
22,kmeans,svc_l2,yes,no,yes,no,adnidod,80,2,partial correlation,no,120,[ 0.56641604],roc_auc,6.0
23,kmeans,ridge,yes,no,yes,no,adnidod,80,2,partial correlation,no,120,[ 0.56641604],roc_auc,6.0
24,kmeans,svc_l1,yes,no,yes,no,adnidod,80,2,tangent,no,120,[ 0.72681704],roc_auc,6.0
25,kmeans,svc_l2,yes,no,yes,no,adnidod,80,2,tangent,no,120,[ 0.6716792],roc_auc,6.0
