,atlas,classifier,compcor_10,compute_confounds,confounds,connectome_regress,dataset,dimensionality,iter_shuffle_split,measure,motion_regress,n_regions,scores,scoring,smoothing_fwhm
0,ward,svc_l1,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.69894737],roc_auc,6.0
1,ward,svc_l2,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.63578947],roc_auc,6.0
2,ward,ridge,yes,no,yes,no,adnidod,100,0,correlation,no,120,[ 0.62315789],roc_auc,6.0
3,ward,svc_l1,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.60631579],roc_auc,6.0
4,ward,svc_l2,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.72421053],roc_auc,6.0
5,ward,ridge,yes,no,yes,no,adnidod,100,0,partial correlation,no,120,[ 0.71578947],roc_auc,6.0
6,ward,svc_l1,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.70947368],roc_auc,6.0
7,ward,svc_l2,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.66947368],roc_auc,6.0
8,ward,ridge,yes,no,yes,no,adnidod,100,0,tangent,no,120,[ 0.66947368],roc_auc,6.0
9,ward,svc_l1,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.36764706],roc_auc,6.0
10,ward,svc_l2,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.38445378],roc_auc,6.0
11,ward,ridge,yes,no,yes,no,adnidod,100,1,correlation,no,120,[ 0.3907563],roc_auc,6.0
12,ward,svc_l1,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.56092437],roc_auc,6.0
13,ward,svc_l2,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.42857143],roc_auc,6.0
14,ward,ridge,yes,no,yes,no,adnidod,100,1,partial correlation,no,120,[ 0.42857143],roc_auc,6.0
15,ward,svc_l1,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.55882353],roc_auc,6.0
16,ward,svc_l2,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.38865546],roc_auc,6.0
17,ward,ridge,yes,no,yes,no,adnidod,100,1,tangent,no,120,[ 0.38865546],roc_auc,6.0
18,ward,svc_l1,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.52380952],roc_auc,6.0
19,ward,svc_l2,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.56140351],roc_auc,6.0
20,ward,ridge,yes,no,yes,no,adnidod,100,2,correlation,no,120,[ 0.55889724],roc_auc,6.0
21,ward,svc_l1,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.5839599],roc_auc,6.0
22,ward,svc_l2,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.81203008],roc_auc,6.0
23,ward,ridge,yes,no,yes,no,adnidod,100,2,partial correlation,no,120,[ 0.81203008],roc_auc,6.0
24,ward,svc_l1,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.6566416],roc_auc,6.0
25,ward,svc_l2,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.70676692],roc_auc,6.0
26,ward,ridge,yes,no,yes,no,adnidod,100,2,tangent,no,120,[ 0.70426065],roc_auc,6.0
27,ward,svc_l1,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.67800454],roc_auc,6.0
28,ward,svc_l2,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.72789116],roc_auc,6.0
29,ward,ridge,yes,no,yes,no,adnidod,100,3,correlation,no,120,[ 0.72789116],roc_auc,6.0
30,ward,svc_l1,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.43310658],roc_auc,6.0
31,ward,svc_l2,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.52834467],roc_auc,6.0
32,ward,ridge,yes,no,yes,no,adnidod,100,3,partial correlation,no,120,[ 0.52154195],roc_auc,6.0
33,ward,svc_l1,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.60090703],roc_auc,6.0
34,ward,svc_l2,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.63038549],roc_auc,6.0
35,ward,ridge,yes,no,yes,no,adnidod,100,3,tangent,no,120,[ 0.63945578],roc_auc,6.0
36,ward,svc_l1,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.47294118],roc_auc,6.0
37,ward,svc_l2,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.59529412],roc_auc,6.0
38,ward,ridge,yes,no,yes,no,adnidod,100,4,correlation,no,120,[ 0.57176471],roc_auc,6.0
39,ward,svc_l1,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.53882353],roc_auc,6.0
40,ward,svc_l2,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.69411765],roc_auc,6.0
41,ward,ridge,yes,no,yes,no,adnidod,100,4,partial correlation,no,120,[ 0.69176471],roc_auc,6.0
42,ward,svc_l1,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.65176471],roc_auc,6.0
43,ward,svc_l2,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.66117647],roc_auc,6.0
44,ward,ridge,yes,no,yes,no,adnidod,100,4,tangent,no,120,[ 0.66352941],roc_auc,6.0
45,ward,svc_l1,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.6291866],roc_auc,6.0
46,ward,svc_l2,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.62679426],roc_auc,6.0
47,ward,ridge,yes,no,yes,no,adnidod,100,5,correlation,no,120,[ 0.64354067],roc_auc,6.0
48,ward,svc_l1,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.62200957],roc_auc,6.0
49,ward,svc_l2,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.59090909],roc_auc,6.0
50,ward,ridge,yes,no,yes,no,adnidod,100,5,partial correlation,no,120,[ 0.59090909],roc_auc,6.0
51,ward,svc_l1,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.48086124],roc_auc,6.0
52,ward,svc_l2,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.5861244],roc_auc,6.0
53,ward,ridge,yes,no,yes,no,adnidod,100,5,tangent,no,120,[ 0.59330144],roc_auc,6.0
54,ward,svc_l1,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.53561254],roc_auc,6.0
55,ward,svc_l2,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.65811966],roc_auc,6.0
56,ward,ridge,yes,no,yes,no,adnidod,100,6,correlation,no,120,[ 0.62393162],roc_auc,6.0
57,ward,svc_l1,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.54985755],roc_auc,6.0
58,ward,svc_l2,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.67806268],roc_auc,6.0
59,ward,ridge,yes,no,yes,no,adnidod,100,6,partial correlation,no,120,[ 0.67806268],roc_auc,6.0
60,ward,svc_l1,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.45584046],roc_auc,6.0
61,ward,svc_l2,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.68376068],roc_auc,6.0
62,ward,ridge,yes,no,yes,no,adnidod,100,6,tangent,no,120,[ 0.68376068],roc_auc,6.0
63,ward,svc_l1,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.59903382],roc_auc,6.0
64,ward,svc_l2,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.57004831],roc_auc,6.0
65,ward,ridge,yes,no,yes,no,adnidod,100,7,correlation,no,120,[ 0.59178744],roc_auc,6.0
66,ward,svc_l1,yes,no,yes,no,adnidod,100,7,partial correlation,no,120,[ 0.72222222],roc_auc,6.0
67,ward,svc_l2,yes,no,yes,no,adnidod,100,7,partial correlation,no,120,[ 0.71980676],roc_auc,6.0
68,ward,ridge,yes,no,yes,no,adnidod,100,7,partial correlation,no,120,[ 0.7173913],roc_auc,6.0
69,ward,svc_l1,yes,no,yes,no,adnidod,100,7,tangent,no,120,[ 0.69806763],roc_auc,6.0
70,ward,svc_l2,yes,no,yes,no,adnidod,100,7,tangent,no,120,[ 0.72222222],roc_auc,6.0
71,ward,ridge,yes,no,yes,no,adnidod,100,7,tangent,no,120,[ 0.72463768],roc_auc,6.0
72,ward,svc_l1,yes,no,yes,no,adnidod,100,8,correlation,no,120,[ 0.69063181],roc_auc,6.0
73,ward,svc_l2,yes,no,yes,no,adnidod,100,8,correlation,no,120,[ 0.61437908],roc_auc,6.0
74,ward,ridge,yes,no,yes,no,adnidod,100,8,correlation,no,120,[ 0.60566449],roc_auc,6.0
75,ward,svc_l1,yes,no,yes,no,adnidod,100,8,partial correlation,no,120,[ 0.52505447],roc_auc,6.0
76,ward,svc_l2,yes,no,yes,no,adnidod,100,8,partial correlation,no,120,[ 0.56427015],roc_auc,6.0
77,ward,ridge,yes,no,yes,no,adnidod,100,8,partial correlation,no,120,[ 0.5620915],roc_auc,6.0
78,ward,svc_l1,yes,no,yes,no,adnidod,100,8,tangent,no,120,[ 0.70152505],roc_auc,6.0
79,ward,svc_l2,yes,no,yes,no,adnidod,100,8,tangent,no,120,[ 0.7037037],roc_auc,6.0
80,ward,ridge,yes,no,yes,no,adnidod,100,8,tangent,no,120,[ 0.70588235],roc_auc,6.0
81,ward,svc_l1,yes,no,yes,no,adnidod,100,9,correlation,no,120,[ 0.55451128],roc_auc,6.0
82,ward,svc_l2,yes,no,yes,no,adnidod,100,9,correlation,no,120,[ 0.51879699],roc_auc,6.0
83,ward,ridge,yes,no,yes,no,adnidod,100,9,correlation,no,120,[ 0.52067669],roc_auc,6.0
84,ward,svc_l1,yes,no,yes,no,adnidod,100,9,partial correlation,no,120,[ 0.57706767],roc_auc,6.0
85,ward,svc_l2,yes,no,yes,no,adnidod,100,9,partial correlation,no,120,[ 0.65037594],roc_auc,6.0
86,ward,ridge,yes,no,yes,no,adnidod,100,9,partial correlation,no,120,[ 0.64661654],roc_auc,6.0
87,ward,svc_l1,yes,no,yes,no,adnidod,100,9,tangent,no,120,[ 0.71052632],roc_auc,6.0
88,ward,svc_l2,yes,no,yes,no,adnidod,100,9,tangent,no,120,[ 0.70112782],roc_auc,6.0
89,ward,ridge,yes,no,yes,no,adnidod,100,9,tangent,no,120,[ 0.70676692],roc_auc,6.0
90,ward,svc_l1,yes,no,yes,no,adnidod,100,10,correlation,no,120,[ 0.60371517],roc_auc,6.0
91,ward,svc_l2,yes,no,yes,no,adnidod,100,10,correlation,no,120,[ 0.64705882],roc_auc,6.0
92,ward,ridge,yes,no,yes,no,adnidod,100,10,correlation,no,120,[ 0.65634675],roc_auc,6.0
93,ward,svc_l1,yes,no,yes,no,adnidod,100,10,partial correlation,no,120,[ 0.44272446],roc_auc,6.0
94,ward,svc_l2,yes,no,yes,no,adnidod,100,10,partial correlation,no,120,[ 0.7120743],roc_auc,6.0
95,ward,ridge,yes,no,yes,no,adnidod,100,10,partial correlation,no,120,[ 0.7120743],roc_auc,6.0
96,ward,svc_l1,yes,no,yes,no,adnidod,100,10,tangent,no,120,[ 0.54489164],roc_auc,6.0
97,ward,svc_l2,yes,no,yes,no,adnidod,100,10,tangent,no,120,[ 0.76470588],roc_auc,6.0
98,ward,ridge,yes,no,yes,no,adnidod,100,10,tangent,no,120,[ 0.76470588],roc_auc,6.0
99,ward,svc_l1,yes,no,yes,no,adnidod,100,11,correlation,no,120,[ 0.6969697],roc_auc,6.0
